#,Country,Body,Screen,Battery,Accessories,Price,Key
59,Local,GradeB,GradeB,91-100%,Cable,925,Local_GradeB_GradeB_91-100%_Cable
60,Export,GradeB,GradeA,91-100%,Cable,925,Export_GradeB_GradeA_91-100%_Cable
61,Export,GradeC,GradeA,91-100%,CableBox,925,Export_GradeC_GradeA_91-100%_CableBox
62,Export,GradeA,GradeB,86-90%,Box,922,Export_GradeA_GradeB_86-90%_Box
63,Local,GradeB,GradeA,86-90%,None,921,Local_GradeB_GradeA_86-90%_None
64,Local,GradeC,GradeA,91-100%,None,920,Local_GradeC_GradeA_91-100%_None
65,Local,GradeA,GradeB,81-85%,Box,918,Local_GradeA_GradeB_81-85%_Box
66,Export,GradeA,GradeA,81-85%,Box,918,Export_GradeA_GradeA_81-85%_Box
67,Export,GradeA,GradeB,86-90%,Cable,917,Export_GradeA_GradeB_86-90%_Cable
68,Export,GradeA,GradeC,91-100%,CableBox,915,Export_GradeA_GradeC_91-100%_CableBox
69,Local,GradeA,GradeB,81-85%,Cable,913,Local_GradeA_GradeB_81-85%_Cable
70,Local,GradeA,GradeC,86-90%,Box,913,Local_GradeA_GradeC_86-90%_Box
71,Export,GradeA,GradeA,81-85%,Cable,913,Export_GradeA_GradeA_81-85%_Cable
72,Local,GradeB,GradeB,91-100%,None,910,Local_GradeB_GradeB_91-100%_None
73,Export,GradeB,GradeA,91-100%,None,910,Export_GradeB_GradeA_91-100%_None
74,Export,GradeC,GradeA,91-100%,Box,910,Export_GradeC_GradeA_91-100%_Box
75,Local,GradeC,GradeA,86-90%,CableBox,909,Local_GradeC_GradeA_86-90%_CableBox
76,Local,GradeA,GradeC,86-90%,Cable,908,Local_GradeA_GradeC_86-90%_Cable
77,Export,GradeC,GradeA,91-100%,Cable,905,Export_GradeC_GradeA_91-100%_Cable
78,Export,GradeA,GradeB,86-90%,None,902,Export_GradeA_GradeB_86-90%_None
79,Export,GradeA,GradeC,91-100%,Box,900,Export_GradeA_GradeC_91-100%_Box
80,Local,GradeB,GradeB,86-90%,CableBox,899,Local_GradeB_GradeB_86-90%_CableBox
81,Export,GradeB,GradeA,86-90%,CableBox,899,Export_GradeB_GradeA_86-90%_CableBox
82,Local,GradeA,GradeB,81-85%,None,898,Local_GradeA_GradeB_81-85%_None
83,Local,GradeB,GradeA,81-85%,CableBox,898,Local_GradeB_GradeA_81-85%_CableBox
84,Export,GradeA,GradeA,81-85%,None,898,Export_GradeA_GradeA_81-85%_None
85,Local,GradeC,GradeB,91-100%,CableBox,895,Local_GradeC_GradeB_91-100%_CableBox
86,Export,GradeA,GradeC,91-100%,Cable,895,Export_GradeA_GradeC_91-100%_Cable
87,Local,GradeC,GradeA,86-90%,Box,894,Local_GradeC_GradeA_86-90%_Box
88,Local,GradeA,GradeC,86-90%,None,893,Local_GradeA_GradeC_86-90%_None
89,Export,GradeC,GradeA,91-100%,None,890,Export_GradeC_GradeA_91-100%_None
90,Local,GradeC,GradeA,86-90%,Cable,889,Local_GradeC_GradeA_86-90%_Cable
91,Export,GradeB,GradeB,91-100%,CableBox,885,Export_GradeB_GradeB_91-100%_CableBox
92,Local,GradeB,GradeB,86-90%,Box,884,Local_GradeB_GradeB_86-90%_Box
93,Export,GradeB,GradeA,86-90%,Box,884,Export_GradeB_GradeA_86-90%_Box
94,Local,GradeA,GradeB,80%,CableBox,883,Local_GradeA_GradeB_80%_CableBox
95,Local,GradeB,GradeA,81-85%,Box,883,Local_GradeB_GradeA_81-85%_Box
96,Export,GradeA,GradeA,80%,CableBox,883,Export_GradeA_GradeA_80%_CableBox
97,Local,GradeC,GradeB,91-100%,Box,880,Local_GradeC_GradeB_91-100%_Box
